chrom1	start1	end1	chrom2	start2	end2	score
chrX	14600000	14601000	chrX	14600000	14601000	0
chrX	14601000	14604000	chrX	14600000	14601000	-43.5
chrX	14604000	14607000	chrX	14600000	14601000	-40.6846160888672
chrX	14607000	14610000	chrX	14600000	14601000	-22.2250003814697
chrX	14610000	14613000	chrX	14600000	14601000	-27.009090423584
chrX	14613000	14616000	chrX	14600000	14601000	-27.1000003814697
chrX	14616000	14619000	chrX	14600000	14601000	-27.4799995422363
chrX	14619000	14622000	chrX	14600000	14601000	-15.1199998855591
chrX	14622000	14625000	chrX	14600000	14601000	-12.1999998092651
chrX	14625000	14628000	chrX	14600000	14601000	-19.1333332061768
chrX	14628000	14631000	chrX	14600000	14601000	-21.8500003814697
chrX	14631000	14634000	chrX	14600000	14601000	-24.2000007629395
chrX	14634000	14637000	chrX	14600000	14601000	-37.3666648864746
chrX	14637000	14640000	chrX	14600000	14601000	0
chrX	14640000	14643000	chrX	14600000	14601000	-25.9000015258789
chrX	14643000	14646000	chrX	14600000	14601000	-13.8857145309448
chrX	14646000	14649000	chrX	14600000	14601000	12.3600006103516
chrX	14649000	14652000	chrX	14600000	14601000	13.8000001907349
chrX	14652000	14655000	chrX	14600000	14601000	11.1800003051758
chrX	14655000	14658000	chrX	14600000	14601000	0
chrX	14658000	14661000	chrX	14600000	14601000	-13.0500001907349
chrX	14661000	14664000	chrX	14600000	14601000	-12.9285717010498
chrX	14664000	14667000	chrX	14600000	14601000	-8.96666717529297
chrX	14667000	14670000	chrX	14600000	14601000	-3.17999982833862
chrX	14670000	14673000	chrX	14600000	14601000	10.1857137680054
chrX	14673000	14676000	chrX	14600000	14601000	16.6000003814697
chrX	14676000	14679000	chrX	14600000	14601000	19.3999996185303
chrX	14679000	14682000	chrX	14600000	14601000	18.0285720825195
chrX	14682000	14685000	chrX	14600000	14601000	20.2000007629395
chrX	14685000	14688000	chrX	14600000	14601000	17.3999996185303
chrX	14688000	14691000	chrX	14600000	14601000	18.8000011444092
chrX	14691000	14694000	chrX	14600000	14601000	19
chrX	14694000	14697000	chrX	14600000	14601000	25.5
chrX	14697000	14700000	chrX	14600000	14601000	30
chrX	14700000	14703000	chrX	14600000	14601000	29
chrX	14703000	14706000	chrX	14600000	14601000	28.7999992370605
chrX	14706000	14709000	chrX	14600000	14601000	33
chrX	14709000	14712000	chrX	14600000	14601000	37.2666664123535
chrX	14712000	14715000	chrX	14600000	14601000	37.2000007629395
chrX	14715000	14718000	chrX	14600000	14601000	37.4000015258789
chrX	14718000	14721000	chrX	14600000	14601000	42.0999984741211
chrX	14721000	14724000	chrX	14600000	14601000	0
chrX	14724000	14727000	chrX	14600000	14601000	48.4000015258789
chrX	14727000	14730000	chrX	14600000	14601000	53.1285705566406
