PGP-110	chrX	1005001	16065001	15060000	182,419	0	0	1	-	(TfIIA-S-2)	Su(W[a])			dpr18	Muc14A				0	0	1	2	2	0	0
PGP-103	chr2R	8685001	22055001	13370000	22,372	0	0	1	Acsl					CG13500	CG13501	(Snp)	(PpD5)		0	1	0	1	2	2	0
PGP-99	chr2L	2115001	10965001	8850000	32,657	0	0	1	-	(dpr3)	(CG4259)			dpr2	CG33129				1	1	0	2	2	2	2
PGP-140	chr3L	12865001	20005001	7140000	98,216	0	1	1	CG10943	CG32107	(Ent3)	(Wbp2)		kug	CG7668	Tom20	Gabat		0	1	0	1	2	0	0
PGP-107	chr3R	5165001	12025001	6860000	22,462	0	0	1	dpr16	CG12590				CG31358	CG42504				0	1	0	0	2	0	0
PGP-137	chr2R	8795001	15005001	6210000	75,31	0	1	1	CG8746	sns				(hbs)	(CG43101)	(pcs)	(CG10265)		1	1	0	1	2	0	1
PGP-141	chr3R	4055001	7785001	3730000	32,944	0	1	1	-					CG18747	CG18745	CG18748	CG18746		0	0	1	2	2	0	0
PGP-35	chr3L	6655001	9335001	2680000	65,385	1	1	1	-	(eIF4E-4)				PGRP-LA					0	0	1	2	2	2	2
PGP-100	chr2L	6415001	9085001	2670000	20,259	0	0	1	Tig	CG13982	DIP-epsilon			Toll-4					0	1	0	0	2	0	2
PGP-142	chr3L	4805001	7005001	2200000	23,763	1	1	1	CG7509	CG18808	Dhc64C	(RhoGEF64C)		Mp	(bin)				0	1	0	1	2	0	0
PGP-33	chr2L	20125001	21685001	1560000	37,561	1	1	1	-	(CG10651)				EF2	nolo				0	0	1	2	2	2	2
PGP-36	chr3L	18745001	20005001	1260000	20,683	1	1	1	CG6885	MED11	Nufip	Atg3		kug	CG7668	Tom20	Gabat		0	1	0	1	2	2	0
PGP-77	chr2L	9088751	9488751	400000	24,742	0	0	1	Toll-4					Gdi					0	1	0	2	2	0	0
PGP-5	chr2L	19191251	19363751	172500	15,992	1	1	1	drl	pigeon				dnt	CG13086				1	1	0	2	2	2	2
PGP-116	chr2R	1901251	2041251	140000	77,089	1	1	0	CG17684					CG17684					0	1	0	0	2	0	0
PGP-27	chrX	8721251	8838751	117500	14,227	1	1	1	CG1785	l(1)G0020	CG1789			CG12075					0	1	0	0	2	0	0
